artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Burna Boy,#Yawadey,0rDedYRMG0a9cXkdZMeutG,L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),5t1QPMQ3ssvP9gLLRPIckA,2013-08-12,38.0,False,0.799,0.587,F#/Gb,-10.005,Major,0.0647,0.0134,0.000149,0.0582,0.737,102.988,4.0,,Album,03:57,2013,August,Monday
Burna Boy,12 Jewels (feat. RZA),3Mg8Wwxis5tw3hCHrVXeiD,I Told Them...,1JzjwUKkPsdHg1SQ7qa5hc,2023-08-24,4.0,False,0.617,0.535,F#/Gb,-15.861,Minor,0.88,0.86,0.0,0.611,0.35,88.986,4.0,RZA,Album,00:27,2023,August,Thursday
Burna Boy,20 10 20,75TQhs2vu3622WqG8ZG3n2,20 10 20,7scvLtBTt1vwk3GZyK32HZ,2020-10-29,40.0,False,0.823,0.466,F#/Gb,-12.898,Minor,0.258,0.149,0.00337,0.113,0.59,98.01,4.0,,Single,03:33,2020,October,Thursday
Burna Boy,23,7EqoATlXAKNwzv45LAlqRt,Twice As Tall,218CJKDCszsQQj7Amk7vIu,2020-08-13,50.0,True,0.738,0.53,F,-8.89,Minor,0.113,0.16,0.0805,0.0973,0.533,102.891,4.0,,Album,04:05,2020,August,Thursday
Burna Boy,34,4tAu3VX39NHecJzJfP6dQ9,Steel & Copper,7z1KSudQMWVOFpSjhxL6Qm,2019-03-21,16.0,True,0.785,0.689,F#/Gb,-6.374,Minor,0.311,0.0555,0.0064,0.107,0.321,145.018,4.0,DJDS,EP,02:40,2019,March,Thursday
Praiz,69 (feat. Burna Boy & Ikechukwu),0KyBUcg6j5xXr21xnQU3JN,69 (feat. Burna Boy & Ikechukwu),2VaCidKCx8RMytYeiuHKYz,2016-10-01,17.0,True,0.668,0.452,C,-7.545,Major,0.032,0.0387,0.00342,0.109,0.0389,130.072,4.0,"Burna Boy, Ikechukwu",Feature,04:06,2016,October,Saturday
Popcaan,Aboboyaa (feat. Burna Boy),2KEMHoK7Tz7rlTUalQXMUk,Great Is He,5DVnzAiFpPirUnh3QPv1ZR,2023-01-27,40.0,True,0.634,0.833,G,-5.1,Major,0.25,0.297,0.0,0.367,0.714,96.881,4.0,Burna Boy,Feature,02:46,2023,January,Friday
Sauti Sol,Afrikan Star,5LpDO55Hivc0DyKDMu7GsP,Afrikan Sauce,3lVYhpsc6SAnMhagWrbwkm,2019-01-31,0.0,False,0.778,0.635,G,-9.641,Major,0.385,0.368,0.0,0.27,0.875,94.943,4.0,Burna Boy,Feature,03:14,2019,January,Thursday
Burna Boy,Alarm Clock,2ItiM4zjvjHmQSXruCb9zA,Twice As Tall,4moiYbxseWbPD2moVhOYje,2020-08-12,28.0,False,0.797,0.714,C#/Db,-8.054,Major,0.0683,0.07,0.285,0.154,0.424,104.997,4.0,,Album,02:12,2020,August,Wednesday
AKA,"All Eyes on Me (feat. Burna Boy, Da L.E.S. & JR)",6oAWlzrEbXFis7Z0kyeX0h,Levels (Explicit),2vaRvfNXHyrXOQ8Aw6MEXe,2014-07-07,48.0,False,0.7,0.684,C#/Db,-6.393,Major,0.0725,0.0143,0.0,0.073,0.48,95.169,4.0,"Burna Boy, Da Les, JR",Feature,04:18,2014,July,Monday
AKA,"All Eyes on Me (feat. Burna Boy, Stonebwoy & Redsan) - Fahrenheitz Remix",1bjKvHhCmLMZjFQs2y6Wk3,"All Eyes on Me (feat. Burna Boy, Stonebwoy & Redsan) [Fahrenheitz Remix]",49COI4ESIudt1Ijh0AigGz,2015-08-19,14.0,True,0.508,0.784,C#/Db,-2.696,Minor,0.289,0.0349,0.0,0.17,0.71,196.452,4.0,"Burna Boy, Stonebwoy, Redsan",Feature,04:12,2015,August,Wednesday
