,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
0,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,80,True,0.554,190067,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,4,[]
1,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,89,True,0.558,180387,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4,['Kali Uchis']
2,"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,5iUwaD3wFVwfaAfs9Z0eCh,2020-01-25,81,True,0.596,127921,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,3,[]
3,"Tyler, The Creator",ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,79,True,0.216,265480,0.497,10,-8.025,1,0.0371,0.128,2.39e-06,0.111,0.313,187.308,3,[]
4,"Tyler, The Creator",NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,79,True,0.621,195320,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,4,[]
5,"Tyler, The Creator",She,0SA0mMXWh23raZ6xzOCU2V,Goblin,5dbCm8qaCdWnNdVyi3urUO,2011-05-09,74,True,0.35,253387,0.621,8,-6.495,0,0.233,0.256,3.44e-05,0.613,0.459,83.375,4,['Frank Ocean']
6,"Tyler, The Creator",I THINK,4f8Mh5wuWHOsfXtzjrJB3t,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,70,True,0.826,212013,0.579,8,-8.241,0,0.0801,0.00881,0.0,0.129,0.431,121.075,4,[]
7,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,73,True,0.493,121573,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,4,"['YoungBoy Never Broke Again', 'Ty Dolla $ign']"
8,"Tyler, The Creator",Answer,6rqj2zeKhLy3exkuFi6mSz,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,70,True,0.352,230067,0.838,8,-6.465,0,0.0496,0.00329,5.74e-06,0.115,0.475,72.291,4,[]
9,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,72,True,0.468,588139,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,4,"['Brent Faiyaz', 'Fana Hues']"
