,artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
0,Pharrell Williams,"VIRGINIA Boy (feat. Tyler, The Creator) - Remix",1ewLDmADNjHl1rzF5Ink3s,Piece By Piece - Music from the Motion Picture,210rAUA5H4xH6S9J0aHRLE,2024-10-11,128843,61,True,0.665,0.791,1,-3.278,1,0.277,0.101,0.0,0.0999,0.667,182.105,4,"[['Tyler, The Creator']]"
1,Maxo Kream,Cracc Era,4cncOEt5C81tmBSHF3kX66,Cracc Era,5Xl1nussmpooifiSxmxUXC,2024-09-25,115914,64,True,0.901,0.625,1,-10.317,0,0.213,0.0121,0.000454,0.163,0.377,110.751,5,"[['Tyler, The Creator']]"
2,Mac Miller,"O.K. (feat. Tyler, The Creator) - Bonus Track",3fc6y2t7MsdRXTiyWSjI4s,Watching Movies with the Sound Off (10th Anniversary),0Wf65emw9eAwbjJ45gMMqp,2023-06-23,160868,45,True,0.814,0.741,1,-6.863,1,0.43,0.0579,0.0,0.223,0.764,115.211,4,"[['Tyler, The Creator']]"
3,Domo Genesis,"No Idols (feat. Tyler, The Creator)",6X4p4GdoksbRDVz4Q5wTj5,No Idols,3GncI0ExXYyWnIzZe9oxRQ,2023-04-20,226733,42,True,0.364,0.893,11,-3.673,1,0.583,0.133,0.000194,0.393,0.664,79.693,4,"[['The Alchemist', 'Tyler, The Creator']]"
4,DJ Drama,Legendary,2VXhwq2VuhVcLBsJa6A2wY,I'M REALLY LIKE THAT,6hFTxaqHvUadGLRV9xDEjV,2023-03-31,98308,0,True,0.535,0.634,10,-6.986,1,0.119,0.706,0.0,0.132,0.455,80.954,4,"[['Tyler, The Creator']]"
5,Brent Faiyaz,"GRAVITY (FEAT. TYLER, THE CREATOR)",3zakx7RAwdkUQlOoQ7SJRt,WASTELAND,0PHMNbcgHfzSUALlfk7wGg,2022-07-08,214692,68,True,0.541,0.619,1,-8.746,0,0.254,0.167,0.00633,0.144,0.491,163.908,4,"[['Dahi', 'Tyler, The Creator']]"
6,Pharrell Williams,Cash In Cash Out,3S68RFe1lsdCdTMPIMJM3X,Cash In Cash Out,4YV8SurDnk8sctOOZzYtbH,2022-06-10,216135,65,True,0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,4,"[['21 Savage', 'Tyler, The Creator']]"
7,"Tyler, The Creator","Come On, Let's Go (with Nigo)",6f44p3Kc4ayD9VtbC9Clkr,I Know NIGO!,75T8WnF5n7fgKJ0EC7WRPS,2022-03-25,199500,61,True,0.732,0.734,11,-7.968,1,0.0974,0.136,0.000901,0.165,0.488,145.722,4,[['Nigo']]
8,A$AP Rocky,"Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)",5x8NgG7Ya18m9wafOvvWYk,I Know NIGO!,75T8WnF5n7fgKJ0EC7WRPS,2022-03-25,174862,53,True,0.458,0.697,1,-5.02,1,0.325,0.0185,0.0,0.784,0.495,172.584,4,"[['Tyler, The Creator', 'Nigo']]"
9,Rex Orange County,"OPEN A WINDOW (feat. Tyler, The Creator)",1TDeDFUYHjZKLsO6bzoVg1,WHO CARES?,2yI4m5Yu2tl8v0It5P9WVz,2022-03-11,218586,55,True,0.541,0.607,2,-7.174,1,0.0482,0.282,0.0,0.193,0.548,79.974,4,"[['Tyler, The Creator']]"
10,Rex Orange County,"OPEN A WINDOW (feat. Tyler, The Creator)",0YpaoMOUSP3jwZ4RgqNESG,"OPEN A WINDOW (feat. Tyler, The Creator)",48jLx1BQeDpojpNweMzlMf,2022-03-09,218586,42,True,0.541,0.607,2,-7.174,1,0.0482,0.282,0.0,0.193,0.548,79.974,4,"[['Tyler, The Creator']]"
11,The Weeknd,"Here We Go… Again (feat. Tyler, the Creator)",1NhjYYcYTRywc0di98xHxf,Dawn FM,2nLOHgzXzwFEpl62zAgCEC,2022-01-06,209777,60,True,0.469,0.623,1,-4.432,1,0.0302,0.345,0.0,0.588,0.198,134.943,4,"[['Tyler, The Creator']]"
12,Kanye West,Come to Life,14VMRC6EbRfeub5SkIXiad,Donda (Deluxe),2Wiyo7LzdeBCsVZiRA6vVZ,2021-11-14,310393,51,False,0.421,0.502,3,-6.35,1,0.0306,0.664,3.29e-06,0.381,0.291,126.904,4,[[]]
13,Westside Gunn,"The Fly who couldn't Fly straight (feat. Tyler, The Creator)",6bCbBTw3mqHWQwhFMMaOOq,Hitler Wears Hermes 8: Side B,0KtFP56RU7bd32pcvdeWOU,2021-09-24,105185,58,True,0.46,0.825,7,-6.295,1,0.296,0.451,0.0,0.0865,0.515,81.342,4,"[['Tyler, The Creator']]"
14,Maxo Kream,"BIG PERSONA (feat. Tyler, The Creator)",4uKjkPDGkkpOHxw152rM1g,"BIG PERSONA (feat. Tyler, The Creator)",0vTDlHYc2iOl6Vwyi0Ld9p,2021-09-07,145244,44,True,0.683,0.515,2,-6.668,1,0.101,0.0255,9.85e-05,0.209,0.158,145.963,4,"[['Tyler, The Creator']]"
15,Lykke Li,"I Follow Rivers - Tyler, the Creator Remix",1Po3NUwrIkv54e7VIGtQQS,Wounded Rhymes (Anniversary Edition),19ms2xSmphDqfhx2dp11Tl,2021-07-16,222053,25,True,0.243,0.659,7,-8.969,1,0.122,0.0122,0.000122,0.132,0.293,73.225,5,"[['Tyler, The Creator']]"
16,Snoh Aalegra,"IN THE MOMENT feat. Tyler, The Creator",1tXWUIFKPPHLAth1zCGfmj,TEMPORARY HIGHS IN THE VIOLET SKIES,57ttk3xzHMWLr6CGrEa8F3,2021-07-09,214280,45,True,0.647,0.578,7,-7.232,1,0.129,0.62,0.000845,0.12,0.373,179.048,3,"[['Tyler, The Creator']]"
17,Snoh Aalegra,"NEON PEACH feat. Tyler, The Creator",5PF2WtSZV4EtmGx4oER1zt,TEMPORARY HIGHS IN THE VIOLET SKIES,57ttk3xzHMWLr6CGrEa8F3,2021-07-09,192106,43,True,0.748,0.67,8,-7.118,1,0.0842,0.223,7.6e-05,0.146,0.331,111.353,4,"[['Tyler, The Creator']]"
18,Brent Faiyaz,"GRAVITY (FEAT. TYLER, THE CREATOR)",6u3CPnFMKANYgfdiifFOiJ,"Gravity (feat. Tyler, The Creator)",6ymw9w3tGhxVGBskQAhsvm,2021-01-29,214692,59,True,0.541,0.619,1,-8.746,0,0.254,0.167,0.00633,0.144,0.491,163.908,4,"[['Dahi', 'Tyler, The Creator']]"
19,Channel Tres,"fuego (feat. Tyler, The Creator)",6UYbt0ZVXP5pnrhzk8z2d8,i can't go outside,1p2LdU7Q9Aq8OjO8sfnVMU,2020-12-10,248764,41,True,0.745,0.504,3,-10.405,0,0.307,0.0162,0.00122,0.432,0.434,114.901,4,"[['Tyler, The Creator']]"
20,Freddie Gibbs,"Something to Rap About (feat. Tyler, The Creator)",5OkYfk72CNL8XLqa3gp9q7,Alfredo,3znl1qe13kyjQv7KcR685N,2020-05-29,282560,60,True,0.406,0.524,5,-11.071,1,0.255,0.469,3.95e-06,0.117,0.412,56.046,4,"[['The Alchemist', 'Tyler, The Creator']]"
21,Lil Yachty,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",0gO3E51A3fqp0ypJ26QbVP,Lil Boat 3,2CYr9450iYkEWq4IWL8plY,2020-05-29,232838,53,True,0.784,0.632,10,-6.083,0,0.347,0.156,0.0,0.605,0.746,124.603,4,"[['Tierra Whack', 'A$AP Rocky', 'Tyler, The Creator']]"
22,Westside Gunn,"327 (feat. Tyler, The Creator & Billie Essco)",5sxRbu2Oi9lgmLO8taA3Rf,Pray for Paris,6nfJMRoIjyRwk3ZTHNm0PY,2020-04-17,349040,62,True,0.42,0.701,1,-7.582,0,0.339,0.832,0.0,0.103,0.671,79.716,4,"[['Joey Bada$$', 'Tyler, The Creator', 'Billie Essco']]"
23,La Roux,"Automatic Driver - Tyler, The Creator Remix",59S3SiDxj914oyXd25zt3j,"Automatic Driver (Tyler, The Creator Remix)",57PHygGtLqa9kJRE3rUy15,2020-04-17,210674,42,False,0.551,0.417,0,-7.028,1,0.028,0.471,0.0,0.344,0.53,96.906,4,"[['Tyler, The Creator']]"
24,Yuna,Castaway,19zPT36WogsfBd8HIaUnt4,Rouge,5By9BZR5hxGhbkeq7sAcqZ,2019-07-12,269893,40,True,0.623,0.761,0,-6.084,1,0.0312,0.0223,0.000246,0.39,0.456,99.055,4,"[['Tyler, The Creator']]"
25,Jaden,NOIZE,7kWOOLjhvTsfNFHdu9iWWl,ERYS (Deluxe),6cKBoHXh7dKn2gVsGniZ58,2019-07-05,247760,38,True,0.47,0.794,2,-3.642,1,0.114,0.113,0.0,0.119,0.133,160.12,4,"[['Tyler, The Creator']]"
26,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",2p37Mfy2PWajgOS3i2aaep,Diaspora,790qROmQ1y4aPEYLcSkScH,2019-06-12,201240,55,True,0.926,0.68,2,-7.689,1,0.196,0.0471,0.000125,0.119,0.458,114.981,4,"[['Tyler, The Creator', 'Jay Prince']]"
27,$ilkMoney,Naga,0p9grHe7l8mBtKKNtMkqBi,I Hate My Life and I Really Wish People Would Stop Telling Me Not To,4yQasTblx6sk72EF14Du8g,2018-12-11,117995,34,True,0.675,0.428,10,-8.829,0,0.41,0.0524,0.0,0.107,0.433,124.398,4,[[]]
28,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,Isolation,4EPQtdq6vvwxuYeQTrwDVY,2018-04-06,207454,78,False,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,4,"[['Tyler, The Creator', 'Bootsy Collins']]"
29,Waka Flocka Flame,I'm A Hater (feat. Tyler The Creator & D-Bo),6gUn2o1rBATdPY58wpTutF,Salute Me Or Shoot Me 4 (Banned From America),6dbTZGSD48VL8dDBy41yeb,2018-01-19,283794,0,True,0.713,0.593,2,-5.05,1,0.107,0.0687,0.0,0.32,0.314,136.964,4,"[['D-Bo', 'Tyler, The Creator']]"
30,Frank Ocean,Biking,2q0VexHJirnUPnEOhr2DxK,Biking,7yOOPJjNelITCaYMqk8V6r,2017-04-10,277520,67,True,0.673,0.463,2,-7.247,1,0.191,0.681,4.9e-06,0.0907,0.268,147.981,4,"[['JAY-Z', 'Tyler, The Creator']]"
31,A$AP Mob,"Telephone Calls (feat. A$AP Rocky, Tyler, The Creator, Playboi Carti & Yung Gleesh)",5VnpYqIzm02X9gOhVElQo3,Cozy Tapes: Vol. 1 Friends -,3RaACfwYTY9uiDy3VSWLLc,2016-10-31,230920,55,True,0.732,0.772,2,-6.142,0,0.267,0.194,1.54e-06,0.242,0.493,123.009,4,"[['A$AP Rocky', 'Tyler, The Creator', 'Playboi Carti', 'Yung Gleesh']]"
32,Domo Genesis,"Go (Gas) (feat. Wiz Khalifa, Juicy J & Tyler, The Creator)",0v3IeMw8l2M3TjIqQrihDW,Genesis,3mhZHDmHvIUAeAYH7MrXBW,2016-03-25,223093,27,True,0.716,0.571,2,-10.002,1,0.419,0.0209,0.0,0.268,0.646,80.042,4,"[['Wiz Khalifa', 'Juicy J', 'Tyler, The Creator']]"
33,Casey Veggies,RIP,1twZoRIDBZzHaunmzMl2Vp,Live & Grow,4YsS6HUCoyntWFTReZD1GU,2015-09-25,157266,43,True,0.486,0.64,9,-3.715,1,0.116,0.0752,0.0,0.483,0.536,125.347,4,"[['Tyler, The Creator']]"
