artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Young Thug,Check,1jk9c0gZI0wbn5GvAj7PBV,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,63,True,0.667,0.581,C,-5.164,Minor,0.323,0.0428,0.0,0.183,0.368,110.953,4,[],Commercial Mixtape,03:50,2015,April,Thursday
Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,2019-08-16,65,True,0.855,0.651,C,-8.044,Minor,0.235,0.063,0.0,0.0772,0.559,111.997,4,['Gunna'],Studio Album,03:13,2019,August,Friday
Young Thug,Oh U Went (feat. Drake),7qLr3HMApUbyDkUvgIvHnB,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,65,True,0.808,0.789,G,-5.88,Minor,0.236,0.0517,0.0,0.0819,0.465,136.01,4,['Drake'],Studio Album,03:05,2023,June,Friday
Young Thug,Digits,4cg1yakyRSIOjxKM2I7J1q,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,66,True,0.769,0.632,A#/Bb,-4.228,Minor,0.0537,0.0325,0.0,0.116,0.294,131.932,4,[],Commercial Mixtape,02:56,2016,March,Friday
Young Thug,Money On The Dresser,0k88aN0xmk8Xn1zdnyTiPG,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,46,True,0.896,0.648,G#/Ab,-6.903,Major,0.267,0.000107,0.00826,0.105,0.441,159.982,4,[],Studio Album,02:13,2023,June,Friday
Young Thug,OD,7fheaybAcABeiuYU6VgDrQ,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,44,True,0.51,0.533,G,-6.194,Major,0.359,0.194,0.0,0.117,0.262,88.154,4,[],Commercial Mixtape,04:45,2015,April,Thursday
Young Thug,Numbers,1kWVgfctc2JUKCqlsZGWbU,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,46,True,0.656,0.606,C#/Db,-5.398,Major,0.283,0.134,0.0,0.0921,0.614,140.01,4,[],Commercial Mixtape,03:27,2015,April,Thursday
Young Thug,Scoliosis (with Lil Double 0),5vkrDTKB9xWraHlj0EY1pf,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,47,True,0.917,0.631,D,-6.817,Major,0.244,0.00365,0.0,0.35,0.493,129.965,4,['Lil Double 0'],Studio Album,02:50,2021,October,Friday
Young Thug,Stupid/Asking,5UZxoK9vuNm5uXzIpE4nC7,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,44,True,0.586,0.501,C#/Db,-11.193,Major,0.362,0.497,1.33e-06,0.372,0.473,109.482,5,[],Studio Album,05:33,2021,October,Friday
Young Thug,Worth It,5QCr1xFufKJOTkpcR9ih24,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,51,True,0.604,0.435,E,-9.191,Minor,0.135,0.0326,0.0,0.091,0.112,136.827,4,[],Commercial Mixtape,03:06,2016,March,Friday
Young Thug,Myself,7xPYUbsmB0jItocBfLjO1N,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,33,True,0.503,0.543,A#/Bb,-8.203,Minor,0.453,0.0124,0.0,0.0627,0.369,82.991,4,[],Commercial Mixtape,04:48,2017,December,Monday
Young Thug,Fifth Day Dead,5314IYHnvVMlWPpxolaOFu,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,44,True,0.692,0.365,D,-13.474,Major,0.438,0.263,0.0,0.097,0.199,179.922,4,[],Studio Album,02:30,2021,October,Friday
Young Thug,"Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe)",7iynYKl5NWdjM1FXTzs6hw,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,47,True,0.896,0.423,G#/Ab,-7.987,Major,0.44,0.02,0.0,0.182,0.282,132.928,4,"['Yak Gotti', 'Duke', 'PeeWee Roscoe']",Commercial Mixtape,04:38,2016,March,Friday
Young Thug,Die Today,0yZpMYvpqopK9adJrDT3S9,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,46,True,0.941,0.418,A#/Bb,-10.382,Minor,0.296,0.0121,0.0,0.126,0.518,135.001,4,[],Album Deluxe,03:00,2019,December,Friday
Young Thug,From A Man,3CUMd8XMv3LBSLrDrKoXQE,From A Man,3Ut8zKJlqFVRMqwcAww9bP,2023-10-13,48,True,0.542,0.695,B,-6.539,Minor,0.183,0.0111,0.0,0.114,0.306,70.934,1,[],Single,03:27,2023,October,Friday
Young Thug,"Guwop (feat. Quavo, Offset and Young Scooter)",1BSA5I386L2IAmFQURYjIz,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H,2016-08-26,53,True,0.883,0.616,C,-7.218,Minor,0.274,0.014,1.48e-06,0.0967,0.482,141.969,4,"['Quavo', 'Offset', 'Young Scooter']",Commercial Mixtape,05:15,2016,August,Friday
Young Thug,RiRi,20rZiHL20MTJjfhLQZQsm4,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H,2016-08-26,48,True,0.677,0.489,G#/Ab,-7.385,Major,0.277,0.0144,0.0,0.318,0.457,139.848,4,[],Commercial Mixtape,04:04,2016,August,Friday
Young Thug,Road Rage,4rMRWTyCqdXz4UD5RFGJoG,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,41,True,0.624,0.327,C#/Db,-14.902,Minor,0.892,0.0346,0.0,0.102,0.421,78.584,4,[],Studio Album,02:32,2021,October,Friday
Young Thug,Gangster Shit,4AwJDh8ErDvjeiswR41DKM,Gangster Shit,2DHzI9Jnhf4HDO7jprAgkA,2016-06-10,48,True,0.781,0.57,C#/Db,-5.555,Minor,0.296,0.117,0.0,0.112,0.354,173.991,4,[],Single,02:40,2016,June,Friday
Young Thug,Future Swag,1ckxFDBKrcepE6pDmayXzP,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H,2016-08-26,48,True,0.674,0.664,A,-6.021,Major,0.0906,0.0107,0.0,0.275,0.451,154.039,4,[],Commercial Mixtape,02:45,2016,August,Friday
Young Thug,Jumped Out the Window,0o7Zga5TFy35CcivyPDO5m,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,2019-08-16,47,True,0.928,0.515,C#/Db,-8.306,Major,0.0859,0.00081,0.0,0.235,0.387,138.049,4,[],Studio Album,03:24,2019,August,Friday
Young Thug,Die Slow (with Strick),6wuGK7wlZFjX2NYmParJwl,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,46,True,0.558,0.211,A#/Bb,-14.575,Major,0.0453,0.799,0.000385,0.106,0.159,80.688,4,['Strick'],Studio Album,03:57,2021,October,Friday
Young Thug,Stoner,1jROHCeEzDr6VnV8EnBnik,Stoner,3mEM2ULIptDPwU07OLk1qy,2014-02-04,46,True,0.876,0.675,D#/Eb,-3.28,Minor,0.146,0.421,1.16e-06,0.0667,0.606,135.959,4,[],Single,04:00,2014,February,Tuesday
Young Thug,Hoodie (feat. BSlime & Lil Gotit),6tCmZiMZDwAYSfjnArGG48,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,43,True,0.506,0.598,C#/Db,-8.476,Major,0.415,0.000431,0.0,0.105,0.222,169.717,4,"['Bslime', 'Lil Gotit']",Studio Album,03:35,2023,June,Friday
Young Thug,Tattoos,1vbUiccx25u2ncTe4RujS2,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,45,True,0.822,0.685,C#/Db,-5.872,Minor,0.0837,0.0039,0.0,0.242,0.306,102.033,4,[],Commercial Mixtape,04:01,2016,March,Friday
Young Thug,Big Tipper (feat. Lil Keed),2ppp5hZ4TX9NlrycVEeH3l,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,38,True,0.898,0.589,D,-7.841,Major,0.27,0.000709,0.0,0.164,0.277,155.005,4,['Lil Keed'],Album Deluxe,03:43,2019,December,Friday
Young Thug,Cartier Gucci Scarf (feat. Lil Duke),3TWSar7EBNWZVeEWqDSjpw,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,2019-08-16,42,True,0.935,0.505,C#/Db,-7.155,Minor,0.0931,0.0508,0.0,0.0841,0.183,128.044,4,['Lil Duke'],Studio Album,03:18,2019,August,Friday
Young Thug,Drippin',0f85bMoarvHbdIcfhDjSjN,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,45,True,0.947,0.602,C,-7.275,Major,0.0744,0.0515,0.0,0.0921,0.347,103.961,4,[],Commercial Mixtape,03:06,2016,March,Friday
