,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
1,Young Thug,Check,1jk9c0gZI0wbn5GvAj7PBV,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,63,True,0.667,230693,0.581,0,-5.164,0,0.323,0.0428,0.0,0.183,0.368,110.953,4,[]
3,Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,2019-08-16,65,True,0.855,193027,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,4,['Gunna']
5,Young Thug,Oh U Went (feat. Drake),7qLr3HMApUbyDkUvgIvHnB,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,65,True,0.808,185333,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,4,['Drake']
7,Young Thug,Digits,4cg1yakyRSIOjxKM2I7J1q,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,66,True,0.769,176387,0.632,10,-4.228,0,0.0537,0.0325,0.0,0.116,0.294,131.932,4,[]
9,Young Thug,Money On The Dresser,0k88aN0xmk8Xn1zdnyTiPG,BUSINESS IS BUSINESS,6qElaeK7SHsEzb8uV8eG3D,2023-06-23,46,True,0.896,133000,0.648,8,-6.903,1,0.267,0.000107,0.00826,0.105,0.441,159.982,4,[]
10,Young Thug,OD,7fheaybAcABeiuYU6VgDrQ,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,44,True,0.51,285653,0.533,7,-6.194,1,0.359,0.194,0.0,0.117,0.262,88.154,4,[]
11,Young Thug,Numbers,1kWVgfctc2JUKCqlsZGWbU,Barter 6,0BsMZIueWsJLWng8A7sE8e,2015-04-16,46,True,0.656,207693,0.606,1,-5.398,1,0.283,0.134,0.0,0.0921,0.614,140.01,4,[]
12,Young Thug,Scoliosis (with Lil Double 0),5vkrDTKB9xWraHlj0EY1pf,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,47,True,0.917,170496,0.631,2,-6.817,1,0.244,0.00365,0.0,0.35,0.493,129.965,4,['Lil Double 0']
13,Young Thug,Stupid/Asking,5UZxoK9vuNm5uXzIpE4nC7,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,44,True,0.586,333751,0.501,1,-11.193,1,0.362,0.497,1.33e-06,0.372,0.473,109.482,5,[]
14,Young Thug,Worth It,5QCr1xFufKJOTkpcR9ih24,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,51,True,0.604,186026,0.435,4,-9.191,0,0.135,0.0326,0.0,0.091,0.112,136.827,4,[]
15,Young Thug,Myself,7xPYUbsmB0jItocBfLjO1N,Slime Season 4,5Dwws0oO0fQLDsrwZE7rvW,2017-12-04,33,True,0.503,288053,0.543,10,-8.203,0,0.453,0.0124,0.0,0.0627,0.369,82.991,4,[]
16,Young Thug,Fifth Day Dead,5314IYHnvVMlWPpxolaOFu,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,44,True,0.692,150236,0.365,2,-13.474,1,0.438,0.263,0.0,0.097,0.199,179.922,4,[]
18,Young Thug,"Slime Shit (feat. Yak Gotti, Duke & Peewee Roscoe)",7iynYKl5NWdjM1FXTzs6hw,Slime Season 3,2z4c8M8aVzl7CTobIp36KF,2016-03-25,47,True,0.896,278040,0.423,8,-7.987,1,0.44,0.02,0.0,0.182,0.282,132.928,4,"['Yak Gotti', 'Duke', 'PeeWee Roscoe']"
20,Young Thug,Die Today,0yZpMYvpqopK9adJrDT3S9,So Much Fun (Deluxe),24jAbLMFzCTlIv3kQ94HwK,2019-12-20,46,True,0.941,180507,0.418,10,-10.382,0,0.296,0.0121,0.0,0.126,0.518,135.001,4,[]
21,Young Thug,From A Man,3CUMd8XMv3LBSLrDrKoXQE,From A Man,3Ut8zKJlqFVRMqwcAww9bP,2023-10-13,48,True,0.542,207133,0.695,11,-6.539,0,0.183,0.0111,0.0,0.114,0.306,70.934,1,[]
22,Young Thug,"Guwop (feat. Quavo, Offset and Young Scooter)",1BSA5I386L2IAmFQURYjIz,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H,2016-08-26,53,True,0.883,315973,0.616,0,-7.218,0,0.274,0.014,1.48e-06,0.0967,0.482,141.969,4,"['Quavo', 'Offset', 'Young Scooter']"
24,Young Thug,RiRi,20rZiHL20MTJjfhLQZQsm4,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H,2016-08-26,48,True,0.677,244320,0.489,8,-7.385,1,0.277,0.0144,0.0,0.318,0.457,139.848,4,[]
25,Young Thug,Road Rage,4rMRWTyCqdXz4UD5RFGJoG,Punk,7IKkHmEk4It4cRdOYanyvW,2021-10-15,41,True,0.624,152640,0.327,1,-14.902,0,0.892,0.0346,0.0,0.102,0.421,78.584,4,[]
26,Young Thug,Gangster Shit,4AwJDh8ErDvjeiswR41DKM,Gangster Shit,2DHzI9Jnhf4HDO7jprAgkA,2016-06-10,48,True,0.781,160760,0.57,1,-5.555,0,0.296,0.117,0.0,0.112,0.354,173.991,4,[]
27,Young Thug,Future Swag,1ckxFDBKrcepE6pDmayXzP,JEFFERY,7EpUpNUkkEGnaCvkcn1j4H,2016-08-26,48,True,0.674,165867,0.664,9,-6.021,1,0.0906,0.0107,0.0,0.275,0.451,154.039,4,[]
